code	city	registerd	envelopes	valid votes	Blok proti islam.-Obran.domova	CESTA ODPOVĚDNÉ SPOLEČNOSTI	Komunistická str.Čech a Moravy	Občanská demokratická aliance	Občanská demokratická strana	ROZUMNÍ-stop migraci,diktát.EU	Radostné Česko	STAROSTOVÉ A NEZÁVISLÍ	Strana svobodných občanů	Strana zelených	Česká pirátská strana	Česká str.sociálně demokrat.	Řád národa - Vlastenecká unie
534536	Vidice	187	114	113	0	0	14	0	17	1	0	5	4	1	20	5	0
534544	Vinaře	211	117	117	0	0	16	0	5	1	0	7	3	2	5	8	0
534552	Vlačice	204	118	118	0	1	17	0	7	0	0	7	0	0	11	10	0
534561	Vlastějovice	383	215	211	0	0	11	0	33	4	0	15	0	2	27	32	0
534579	Vlkaneč	520	345	345	0	0	30	0	26	1	0	24	2	6	23	38	0
531014	Vodranty	72	51	51	0	0	7	0	0	0	0	4	0	1	4	10	0
534587	Vrdy	2 347	1 362	1 360	2	1	147	1	109	9	1	119	10	7	115	127	3
534595	Záboří nad Labem	674	430	429	0	0	52	0	26	6	0	79	8	1	26	34	0
534609	Zbizuby	373	233	233	0	0	20	0	20	1	1	21	1	0	13	26	0
534617	Zbraslavice	1 130	679	674	0	0	63	4	79	1	1	60	10	2	54	55	0
534625	Zbýšov	536	332	330	0	0	38	0	22	3	0	27	2	3	27	41	3
534633	Zruč nad Sázavou	3 865	2 216	2 195	4	0	177	2	182	23	4	210	17	27	234	204	5
534641	Žáky	289	167	167	0	0	18	0	13	10	2	11	3	0	7	23	0
534650	Žehušice	613	367	365	1	0	21	0	36	3	1	35	9	5	33	26	0
534668	Žleby	1 091	585	584	0	1	56	0	59	3	0	38	5	4	39	52	0
